"title","imdbid","rating","year","id"
"Tilly the Tomboy Visits the Poor","0232821",3,1910,1464
"Mobilier fidele","0486978",0,1910,4983
"A Trip to Mars","1515725",0,1910,5685
"Cleopatra","0002101",2,1912,2003
"Invaders, The","0002281",0,1912,2005
"Max and the Donkey","0277865",0,1912,5357
"Voyage of the Bourrichon Family, The","0003512",0,1913,5364
"Suspense","0003424",0,1913,5915
"A Florida Enchantment","0003973",2,1914,4457
"Birth of a Nation, The","0004972",2,1915,1258
"Hypocrites","0004134",0,1915,11370
"Alice in Wonderland","0004873",3,1915,11930
"Gretchen the Greenhorn","0006745",3,1916,2008
"Lady Windermere&#39;s Fan","0279914",3,1916,2014
"Vagabond, The","0007507",0,1916,5368
"Intolerance: Love&#39;s Struggle Throughout the Ages","0006864",0,1916,5944
"Snow White","0007361",3,1916,7004
"A Tale of Two Cities","0008652",3,1917,1981
"Rebecca of Sunnybrook Farm","0008499",3,1917,1993
"Poor Little Rich Girl, The","0008443",3,1917,1994
"A Romance of the Redwoods","0008519",0,1917,2015
"Raffles, the Amateur Cracksman","0008489",2,1917,2019
"Tarzan of the Apes","0009682",3,1918,1996
"Stella Maris","0009652",3,1918,2007
"Are Crooks Dishonest?","0008844",0,1918,5441
"Ich mochte kein Mann sein","0010281",3,1918,7108
"When the Clouds Roll by","0010879",3,1919,2018
"Broken Blossoms or The Yellow Man and the Girl","0009968",0,1919,2588
"Cabinet of Dr. Caligari, The","0010323",0,1920,1306
"Pollyanna","0011588",3,1920,1991
"Within Our Gates","0011870",3,1920,5948
"Orphans of the Storm","0012532",3,1921,1263
"Kid, The","0012349",0,1921,3945
"Blot, The","0011979",3,1921,4204
"K&ouml;rkarlen (The Phantom Carriage)","0012364",2,1921,5898
"Nosferatu, eine Symphonie des Grauens","0013442",2,1922,1307
"Phantom, The","0013496",2,1922,1631
"Nathan der Weise","0013428",2,1922,1778
"Man from Beyond, The","0013367",1,1922,2001
"H&auml;xan: Witchcraft Through the Ages","0013257",3,1922,3800
"Paleface, The","0012543",0,1922,5361
"Nanook of the North","0013427",1,1922,5901
"Foolish Wives","0013140",3,1922,5958
"Dr. Mabuse, der Spieler - Ein Bild der Zeit","0013086",3,1922,5967
"Safety Last!","0014429",0,1923,1961
"Why Worry?","0014611",0,1923,1967
"Silent Command, The","0014469",2,1923,1998
"La souriante Madame Beudet","0013626",3,1923,5888
"Our Hospitality","0014341",0,1923,5949
"A Woman of Paris","0014624",2,1923,8947
"Die Nibelungen","0015175",2,1924,1337
"Kriemhild&#39;s Revenge","0015174",2,1924,1338
"Thief of Bagdad, The","0015400",0,1924,1264
"Wild Oranges","0015498",0,1924,1960
"Navigator, The","0015163",0,1924,2009
"Sherlock Jr.","0015324",0,1924,2011
"Girl Shy","0014945",0,1924,2016
"Manhandled","0015116",3,1924,2020
"Great White Silence, The","1764657",0,1924,2413
"Help!","0013845",0,1924,6209
"Greed","0015881",3,1924,8458
"Phantom of the Opera, The","0016220",2,1925,1305
"Battleship Potemkin","0015648",0,1925,1308
"Gold Rush, The","0015864",0,1925,1309
"Go West","0015863",0,1925,1978
"Freshman, The","0015841",0,1925,2012
"Seven Chances","0016332",0,1925,3077
"Lost World, The","0016039",2,1925,5514
"Big Parade, The","0015624",2,1925,5962
"Stachka","0015361",0,1925,5991
"Temptress, The","0017449",1,1926,1334
"Flesh and the Devil","0016884",1,1926,1260
"General, The","0017925",0,1926,1310
"For Heaven&#39;s Sake","0016895",0,1926,1966
"So&#39;s Your Old Man","0017410",3,1926,3217
"Die Abenteuer des Prinzen Achmed","0015532",1,1926,5974
"It","0018033",3,1927,1227
"Metropolis","0017136",1,1927,1267
"Abel Gance&#39;s Napoleon","0018192",2,1927,1312
"Unknown, The","0018528",0,1927,1311
"Sunrise: A Song of Two Humans","0018455",2,1927,1632
"Kid Brother, The","0018051",0,1927,1964
"Nevada","0018199",0,1927,1982
"My Best Girl","0018183",3,1927,2010
"Wings","0018578",1,1927,3118
"Jazz Singer, The","0018037",1,1927,5975
"Downhill [When Boys Leave Home]","0017825",1,1927,7324
"Cat and the Canary, The","0017739",3,1927,11142
"Passion of Joan of Arc, The","0019254",0,1928,1314
"Speedy","0019412",0,1928,1963
"Circus, The","0018773",0,1928,1968
"Cameraman, The","0018742",0,1928,1970
"Steamboat Bill, Jr.","0019421",0,1928,1971
"Racket, The","0019304",0,1928,1972
"Beggars of Life","0018684",0,1928,1977
"Power of the Press, The","0019290",1,1928,1979
"A Girl in Every Port","0018937",0,1928,1980
"Patsy, The","0019258",3,1928,2013
"While the City Sleeps","0019571",2,1928,2017
"Man Who Laughs, The","0019130",2,1928,2021
"Crowd, The","0018806",1,1928,5912
"Docks of New York, The","0018839",2,1928,5984
"Our Dancing Daughters","0019237",2,1928,9314
"Un chien andalou","0020530",0,1929,1313
"Cocoanuts, The","0019777",2,1929,1953
"Welcome Danger","0020572",0,1929,1962
"Pandora&#39;s Box (Die B&uuml;chse der Pandora)","0018737",3,1929,2324
"Man with a Movie Camera","0019760",0,1929,3897
"Blackmail","0019702",2,1929,5979
"Throw of the Dice","0020286",0,1929,6046
"Juno and the Paycock [The Shame of Mary Boyle]","0021015",3,1929,7287
"Broadway Melody","0019729",3,1929,8464
"Blue Angel, The","0020697",1,1930,1315
"All Quiet on the Western Front","0020629",0,1930,1316
"Anna Christie","0020641",3,1930,1326
"Ladies of Leisure","0021040",3,1930,3713
"L&#39;Age d&#39;Or","0021577",0,1930,3871
"Morocco","0021156",1,1930,3865
"Min and Bill","0021148",3,1930,3927
"Be Yourself","0020670",2,1930,4253
"Bat Whispers, The","0020668",3,1930,6782
"Murder!","0021165",3,1930,7291
"Animal Crackers","0020640",3,1930,8463
"M","0022100",3,1931,610
"M&auml;dchen in Uniform","0022183",3,1931,628
"Night Nurse","0022208",3,1931,636
"Frankenstein","0021884",1,1931,1317
"Anna Christie","0020642",3,1931,1327
"Mata Hari","0023196",3,1931,1333
"Tabu: A Story of the South Seas","0022458",0,1931,1633
"Indiscreet","0022000",3,1931,1828
"Last Flight, The","0022054",0,1931,1956
"Pardon Us","0022251",0,1931,1974
"Dracula","0021814",2,1931,1985
"Monkey Business","0022158",1,1931,2384
"City Lights","0021749",3,1931,2705
"Smiling Lieutenant, The","0022074",2,1931,4243
"Cheat, The","0021735",3,1931,5741
"Public Enemy, The","0022286",3,1931,5934
"La Chienne","0021739",3,1931,6030
"A Nous la Liberte","0022599",1,1931,6031
"Little Caesar","0021079",1,1931,6043
"Skin Game, The","0022395",3,1931,7294
"Rich and Strange [East of Shanghai]","0023395",2,1931,7296
"Dracula","0021815",3,1931,8213
"Cimarron","0021746",3,1931,8467
"Hyppolit a lakaj","0021985",1,1931,8557
"Skippy","0022397",3,1931,9095
"Champ, The","0021730",1,1931,9110
"I Am a Fugitive from a Chain Gang","0023042",1,1932,1318
"Grand Hotel","0022958",3,1932,1328
"Age of Consent, The","0022614",2,1932,1983
"Horse Feathers","0023027",1,1932,2383
"White Zombie","0023694",0,1932,2550
"Boudu Saved from Drowning","0022718",1,1932,2767
"I Was Born, But...","0023634",1,1932,3530
"Most Dangerous Game, The","0023238",0,1932,3658
"Freaks","0022913",2,1932,3659
"Island of Lost Souls","0024188",1,1932,3844
"Old Dark House, The","0023293",3,1932,4775
"Merrily We Go to Hell","0023213",3,1932,5742
"Girl from Calgary, The","0022940",2,1932,5783
"Vampyr","0023649",3,1932,5910
"Shanghai Express","0023458",3,1932,5929
"Three on a Match","0023590",3,1932,6051
"Love Me Tonight","0023158",2,1932,6052
"Scarface","0023427",1,1932,6063
"Red-Headed Woman","0023385",3,1932,6092
"Death Kiss, The","0023935",1,1932,6176
"Thirteen Women","0023582",3,1932,6852
"Blue Light (Das Blaue Licht), The","0022694",1,1932,6990
"Number 17","0023285",0,1932,7301
"Bitter Tea of General Yen, The","0023814",3,1932,10705
"Footlight Parade","0024028",3,1933,802
"Queen Christina","0024481",3,1933,1330
"Private Life of Henry VIII., The","0024473",1,1933,1248
"King Kong","0024216",0,1933,2229
"Little Women","0024264",3,1933,2231
"Alice in Wonderland","0023753",3,1933,3188
"Vampire Bat, The","0024727",3,1933,3210
"42nd Street","0024034",3,1933,4335
"Day of Reckoning","0023932",3,1933,5029
"Duck Soup","0023969",1,1933,5185
"Tomorrow at Seven","0024679",3,1933,5752
"Gold Diggers of 1933","0024069",3,1933,5916
"Female","0024008",3,1933,6056
"A Study in Scarlet","0024625",3,1933,6193
"Peanut Vendor, The","0024432",0,1933,6205
"Invisible Man, The","0024184",1,1933,7450
"Baby Face","0023775",3,1933,7528
"Design for Living","0023940",1,1933,8346
"Cavalcade","0023876",3,1933,8477
"Kennel Murder Case, The","0024210",1,1933,10492
"She Done Him Wrong","0024548",2,1933,10702
"Sons of the Desert","0024601",3,1933,10714
"It Happened One Night","0025316",3,1934,621
"Cat&#39;s-Paw, The","0024961",1,1934,1324
"Scarlet Empress, The","0025746",3,1934,1325
"Painted Veil, The","0025617",1,1934,1329
"Count of Monte Cristo, The","0025004",1,1934,1246
"Cleopatra","0024991",1,1934,1270
"Of Human Bondage","0025586",1,1934,1379
"L&#39;atalante","0024844",0,1934,1795
"Lost Patrol, The","0025423",0,1934,1969
"Spitfire","0025822",3,1934,4443
"Maniac","0025465",3,1934,4702
"Anne of Green Gables","0024831",3,1934,5319
"Lost in the Stratosphere","0025424",2,1934,5523
"Search for Beauty","0025755",3,1934,5821
"Evelyn Prentice","0025091",3,1934,6772
"Man Who Knew Too Much, The","0025452",3,1934,7304
"Imitation of Life","0025301",3,1934,7999
"Mystery Liner","0025543",0,1934,8653
"It&#39;s a Gift","0025318",3,1934,10824
"Top Hat","0027125",2,1935,595
"39 Steps, The","0026029",3,1935,1242
"Anna Karenina","0026071",2,1935,1261
"Mutiny on the Bounty","0026752",1,1935,1361
"Naughty Marietta","0026768",3,1935,1685
"Roberta","0026942",3,1935,2362
"Magnificent Obsession","0026667",3,1935,2756
"A Night At The Opera","0026778",1,1935,3881
"Bride of Frankenstein, The","0026138",3,1935,3891
"Lady in Scarlet, The","0026599",2,1935,5750
"Riverside Murder, The","0026939",2,1935,5913
"Mad Love","0026663",2,1935,7998
"Swing Time","0028333",1,1936,596
"Modern Times","0027977",0,1936,1323
"Charge of the Light Brigade, The","0027438",1,1936,1237
"San Francisco","0028216",1,1936,1359
"Wife vs. Secretary","0028505",2,1936,1360
"Petrified Forest, The","0028096",3,1936,1369
"Mr. Deeds Goes to Town","0027996",3,1936,1992
"Born to Dance","0027387",3,1936,2363
"Revolt of the Zombies","0028174",0,1936,2554
"Earthworm Tractors","0027562",1,1936,2699
"Osaka Elegy","0028021",3,1936,2853
"Theodora Goes Wild","0028355",3,1936,3280
"Great Ziegfeld, The","0027698",3,1936,3401
"Mandarin Mystery, The","0029207",3,1936,3548
"Only Son, The","0027752",3,1936,3560
"Camille","0028683",3,1936,3598
"Pennies from Heaven","0028092",3,1936,4010
"Romeo and Juliet","0028203",3,1936,4069
"Bullets or Ballots","0027407",3,1936,4143
"My Man Godfrey","0028010",2,1936,5852
"Sabotage","0028212",3,1936,5926
"Fury","0027652",2,1936,6096
"Murder at Glen Athol","0028000",3,1936,6174
"Il caso Valdemar","3427056",0,1936,6210
"These Three","0028356",2,1936,7227
"Secret Agent","0028231",3,1936,7308
"Dracula&#39;s Daughter","0027545",3,1936,7992
"Shall We Dance","0029546",1,1937,597
"Stage Door","0029604",3,1937,631
"Stella Dallas","0029608",3,1937,795
"Conquest","0028739",2,1937,1332
"Topper","0029682",2,1937,1335
"Lost Horizon","0029162",2,1937,1336
"Prisoner of Zenda, The","0029442",1,1937,1240
"Knight Without Armor","0029087",2,1937,1244
"Parnell","0029377",2,1937,1358
"Snow White and the Seven Dwarfs","0029583",3,1937,1976
"A Day at the Races","0028772",2,1937,2382
"Nothing Sacred","0029322",0,1937,3968
"Make Way for Tomorrow","0029192",3,1937,4255
"Murder at the Baskervilles (Silver Blaze)","0029565",1,1937,5617
"Pepe le Moko","0029453",2,1937,5740
"Awful Truth, The","0028597",3,1937,6554
"Girl Was Young, The","0029811",3,1937,7317
"Marked Woman","0029217",3,1937,7877
"Bizarre, Bizarre","0027552",3,1937,8473
"Life of Emile Zola, The","0029146",1,1937,8478
"Wee Willie Winkie","0029751",3,1937,10352
"Captains Courageous","0028691",0,1937,10838
"Carefree","0029971",2,1938,594
"Lady Vanishes, The","0030341",3,1938,620
"Holiday","0030241",3,1938,994
"Dawn Patrol, The","0030044",0,1938,1238
"Jezebel","0030287",2,1938,1367
"Sisters, The","0030755",2,1938,1378
"Boys Town","0029942",0,1938,2467
"Mr. Wong, Detective","0030473",1,1938,2590
"Adventures of Robin Hood, The","0029843",2,1938,3103
"Bluebeard&#39;s Eighth Wife","0029929",2,1938,3283
"Bringing Up Baby","0029947",3,1938,3400
"Four Daughters","0030149",3,1938,3951
"Mad Miss Manton, The","0030396",3,1938,4495
"Baker&#39;s Wife, The","0030127",1,1938,6042
"Angels with Dirty Faces","0029870",1,1938,7290
"Wizard of Oz, The","0032138",3,1939,174
"Gone with the Wind","0031381",3,1939,291
"Dodge City","0031235",2,1939,383
"Women, The","0032143",3,1939,588
"Stagecoach","0031971",3,1939,593
"Wuthering Heights","0032145",2,1939,1239
"Goodbye, Mr. Chips","0031385",2,1939,1245
"Ninotchka","0031725",3,1939,1259
"Juarez","0031516",2,1939,1368
"Dark Victory","0031210",3,1939,1370
"Essex and Elizabeth","0031826",2,1939,1371
"Young Mr. Lincoln","0032155",2,1939,1382
"Jesse James","0031507",2,1939,1383
"Drums Along the Mohawk","0031252",2,1939,1384
"Story of Alexander Graham Bell, The","0031981",2,1939,1385
"Flying Deuces, The","0031322",0,1939,1973
"Hunchback of Notre Dame, The","0031455",0,1939,2086
"At the Circus","0031060",2,1939,2372
"Gorilla, The","0031387",3,1939,2555
"Mr. Wong in Chinatown","0031680",1,1939,2622
"Of Mice and Men","0031742",1,1939,2851
"Rules of the Game, The","0031885",3,1939,3089
"Babes in Arms","0031066",3,1939,3723
"Destry Rides Again","0031225",3,1939,5634
"Nancy Drew... Reporter","0031709",3,1939,5763
"Adventures of Sherlock Holmes, The","0031022",3,1939,5863
"Mr. Smith Goes to Washington","0031679",2,1939,5946
"Jamaica Inn","0031505",3,1939,7322
"Le jour se l&egrave;ve","0031514",2,1939,8098
"Gulliver&#39;s Travels","0031397",0,1939,8511
"Love Affair","0031593",3,1939,9038
"Gunga Din","0031398",0,1939,10848
"Only Angels Have Wings","0031762",2,1939,10880
"Hound of the Baskervilles, The","0031448",2,1939,11836
"Pinocchio","0032910",1,1940,478
"Rebecca","0032976",3,1940,618
"Thief of Bagdad, The","0033152",0,1940,1265
"Mortal Storm, The","0032811",3,1940,1501
"Comrade X","0032349",2,1940,1355
"Boom Town","0032273",1,1940,1356
"Strange Cargo","0033105",0,1940,1357
"Return of Frank James, The","0032983",0,1940,1366
"All This, and Heaven Too","0032194",2,1940,1373
"Letter, The","0032701",2,1940,1380
"Grapes of Wrath, The","0032551",3,1940,1387
"A Chump at Oxford","0032339",0,1940,1975
"Ape, The","0032215",3,1940,2556
"Santa Fe Trail","0033021",1,1940,2678
"His Girl Friday","0032599",3,1940,3033
"Sea Hawk, The","0033028",3,1940,3050
"Great Dictator, The","0032553",3,1940,3470
"Pride and Prejudice","0032943",3,1940,4257
"Primrose Path","0032946",3,1940,4354
"Chamber of Horrors / Door with the Seven Locks","0032406",2,1940,4363
"Dance, Girl, Dance","0032376",3,1940,4415
"Philadelphia Story, The","0032904",3,1940,4943
"Fantasia","0032455",0,1940,5039
"Anne Of Windy Poplars","0032211",3,1940,5320
"Gaslight","0031359",3,1940,5773
"Last Alarm, The","0032690",3,1940,5802
"Foreign Correspondent","0032484",1,1940,7311
"Shop Around the Corner, The","0033045",3,1940,7861
"Knute Rockne All American","0032676",1,1940,8480
"Two-Faced Woman","0034328",2,1941,1331
"Shanghai Gesture, The","0034175",3,1941,1512
"Maltese Falcon, The","0033870",1,1941,1230
"Citizen Kane","0033467",1,1941,1266
"Dumbo","0033563",2,1941,1117
"Little Foxes, The","0033836",2,1941,1372
"Lady Eve, The","0033804",2,1941,1386
"Devil and Miss Jones, The","0033533",3,1941,1682
"Mr. Bug Goes to Town","0033727",1,1941,1941
"High Sierra","0033717",1,1941,2410
"Wolf Man, The","0034398",2,1941,2436
"Cheers for Miss Bishop","0033459",3,1941,2446
"Men of Boys Town","0033902",1,1941,2468
"49th Parallel","0033627",0,1941,2867
"Buck Privates","0033436",3,1941,2906
"Hold That Ghost","0033723",3,1941,2910
"Meet John Doe","0033891",3,1941,3717
"Sullivan&#39;s Travels","0034240",3,1941,4359
"Murder by Invitation","0033928",3,1941,6171
"Ladies In Retirement","0033802",1,1941,6318
"Suspicion","0034248",3,1941,7329
"Sun valley serenade","0034241",0,1941,8625
"How Green Was My Valley","0033729",3,1941,8983
"Reluctant Dragon, The","0034091",3,1941,9025
"King of the Zombies","0033787",3,1941,9192
"Ball of Fire","0033373",2,1941,10347
"Major and the Minor, The","0035019",3,1942,681
"Now, Voyager","0035140",3,1942,689
"Casablanca","0034583",1,1942,1076
"Magnificent Ambersons, The","0035015",2,1942,1289
"Bambi","0034492",1,1942,1116
"Son of Fury: The Story of Benjamin Blake","0035360",1,1942,1388
"For Me and My Gal","0034746",3,1942,1675
"I Married an Angel","0034882",3,1942,1686
"Cat People","0034587",3,1942,2708
"Black Dragons","0034521",0,1942,3518
"There Was a Father","0034591",0,1942,3789
"Tales of Manhattan","0035415",2,1942,3875
"Man Who Came to Dinner, The","0033874",3,1942,4475
"Woman of the Year","0035567",3,1942,4870
"To Be or Not to Be","0035446",0,1942,5303
"Sherlock Holmes and the Secret Weapon","0035317",1,1942,5859
"Saboteur","0035279",1,1942,5938
"Saboteur","0035279",1,1942,5939
"Mrs. Miniver","0035093",3,1942,6384
"Saludos Amigos","0036326",0,1942,7696
"Corpse Vanishes, The","0034613",1,1942,7697
"Gay Sisters, The","0034770",3,1942,10343
"Old Acquaintance","0036230",3,1943,1374
"Watch on the Rhine","0036515",3,1943,1375
"Girl Crazy","0035942",1,1943,1691
"I Walked with a Zombie","0036027",3,1943,1955
"Sky&#39;s the Limit, The","0036363",1,1943,1959
"Sahara","0036323",0,1943,1987
"Guadalcanal Diary","0035957",0,1943,1988
"Tender Comrade","0036418",3,1943,2407
"Day of Wrath","0036506",3,1943,3753
"Life and Death of Colonel Blimp, The","0036112",2,1943,3839
"Le Corbeau: The Raven","0035753",3,1943,3890
"Shadow of a Doubt","0036342",3,1943,4617
"Judo Saga (Sanshiro Sugata)","0036400",0,1943,4699
"Cry &#39;Havoc&#39;","0035770",3,1943,5209
"Fires Were Started","0035881",0,1943,5554
"Ox-Bow Incident, The","0036244",1,1943,6310
"So Proudly We Hail!","0036367",3,1943,6315
"Jane Eyre","0036969",3,1943,6781
"More the Merrier, The","0036172",1,1943,7410
"La main du diable","0035017",1,1943,7475
"Angels of Sin","0035636",3,1943,7834
"Seventh Victim, The","0036341",3,1943,8090
"China","0035735",3,1943,8501
"Ossessione","0035160",1,1943,8801
"Millions Like Us","0036160",3,1943,10283
"Heaven Can Wait","0035979",3,1943,10778
"Arsenic and Old Lace","0036613",3,1944,201
"Double Indemnity","0036775",3,1944,1416
"Mr. Skeffington","0037094",2,1944,1376
"Meet Me in St. Louis","0037059",3,1944,1676
"Hail the Conquering Hero","0036891",2,1944,1683
"Torment","0036914",0,1944,2045
"Window in the Window","0037469",1,1944,2181
"Laura","0037008",3,1944,2715
"Cover Girl","0036723",3,1944,3134
"Since You Went Away","0037280",3,1944,3154
"To Have and Have Not","0037382",3,1944,3245
"I&#39;ll Be Seeing You","0036940",3,1944,3279
"National Velvet","0037120",3,1944,4222
"Most Beautiful (Ichiban utsukushiku), The","0036947",3,1944,4698
"Lifeboat","0037017",3,1944,5983
"Three Caballeros, The","0038166",0,1944,6319
"Minstrel Man","0037076",1,1944,6420
"A Canterbury Tale","0036695",3,1944,6515
"Uninvited, The","0037415",3,1944,9270
"Die Feuerzangenbowle","0036818",1,1944,9718
"Mildred Pierce","0037913",3,1945,794
"I Know Where I&#39;m Going","0037800",3,1945,1213
"Seventh Veil, The","0038924",3,1945,1280
"Brief Encounter","0037558",3,1945,1544
"Along Came Jones","0037508",0,1945,1639
"Isle of the Dead","0037820",3,1945,2004
"Enchanted Cottage, The","0037671",3,1945,2434
"Objective, Burma!","0037954",0,1945,3271
"Lost Weekend, The","0037884",2,1945,3583
"Detour","0037638",1,1945,3999
"Spellbound","0038109",3,1945,4252
"Rome, Open City","0038890",3,1945,4428
"Scarlet Street","0038057",3,1945,5081
"Children of Paradise","0037674",2,1945,5129
"Keep Your Powder Dry","0037843",3,1945,5677
"Woman in Green, The","0038259",3,1945,5856
"Anchors Aweigh","0037514",0,1945,6017
"Thin Man Goes Home","0037365",2,1945,6848
"Red Dragon, The","0038017",1,1945,6945
"Dead of Night","0037635",3,1945,7185
"Les dames du Bois de Boulogne","0037630",3,1945,7835
"Wicked Lady, The","0038250",3,1945,9005
"Leave Her to Heaven","0037865",3,1945,10235
"Corn Is Green, The","0037614",3,1945,10345
